                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0795,                 3.6164,                 4.1835,                0.00843,                0.21373,                0.01055,                0.00352,                 2.7839,                  3.817,                 4.1629,             0.00053344,             0.00053344,             0.00053344
                      2,                 2.9946,                  3.054,                 4.0592,                0.00859,                0.21782,                0.00993,                0.00356,                 2.7515,                  3.807,                 4.1539,              0.0010793,              0.0010793,              0.0010793
                      3,                 2.8962,                 2.6077,                 3.8523,                0.00916,                0.28426,                0.03967,                 0.0095,                 2.5843,                 3.5089,                  3.975,              0.0016207,              0.0016207,              0.0016207
                      4,                 2.6093,                 2.4803,                 3.6213,                0.34867,                0.15716,                0.13404,                0.04784,                 2.4705,                  3.596,                 3.7222,              0.0016472,              0.0016472,              0.0016472
                      5,                 2.5392,                 2.2419,                 3.4181,                0.30199,                0.28544,                0.20707,                0.09241,                 2.2497,                 3.7126,                 3.3791,              0.0016472,              0.0016472,              0.0016472
                      6,                 2.4279,                 2.2293,                 3.2728,                0.32511,                0.43183,                0.30337,                0.14685,                 2.1722,                 3.5563,                 3.2435,              0.0016406,              0.0016406,              0.0016406
                      7,                  2.246,                 2.0622,                 3.0918,                0.17921,                0.36867,                 0.1617,                0.08139,                 2.1514,                 3.6697,                 3.1543,               0.001634,               0.001634,               0.001634
                      8,                 2.1229,                 2.0556,                 3.0565,                0.42225,                0.32233,                0.31084,                0.15506,                 2.0524,                 2.4219,                 3.2582,              0.0016274,              0.0016274,              0.0016274
                      9,                 2.1004,                 1.8858,                 2.9254,                0.46517,                0.44197,                 0.3126,                0.16186,                 1.9387,                 2.7428,                 2.9203,              0.0016208,              0.0016208,              0.0016208
                     10,                 2.0303,                 1.8379,                 2.7936,                0.52737,                0.39732,                0.35478,                0.20826,                 1.7303,                 2.5612,                 2.6742,              0.0016142,              0.0016142,              0.0016142
                     11,                 1.8275,                 1.7615,                 2.6648,                0.55136,                 0.4049,                0.38254,                0.21589,                 1.7234,                  2.007,                  2.637,              0.0016076,              0.0016076,              0.0016076
                     12,                 1.8462,                 1.6859,                 2.6165,                0.59889,                0.49142,                0.41944,                0.25349,                 1.6314,                 1.8412,                 2.5516,               0.001601,               0.001601,               0.001601
                     13,                 1.8437,                 1.6196,                  2.592,                0.62931,                0.51284,                0.45279,                0.28566,                 1.5123,                 2.1688,                 2.3958,              0.0015944,              0.0015944,              0.0015944
                     14,                 1.7254,                 1.5537,                 2.4397,                0.61854,                0.49107,                0.49662,                0.31154,                 1.4957,                 1.7294,                 2.2832,              0.0015878,              0.0015878,              0.0015878
                     15,                 1.6695,                 1.5749,                 2.3849,                0.60585,                0.49842,                0.49436,                0.30433,                 1.5149,                 1.7396,                 2.2827,              0.0015812,              0.0015812,              0.0015812
